"uuid"	"uri"	"uuid"	"uri"
"7ed31bf1-00b6-4800-a166-544e5e958d0d"	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"1ca0ed1e-a564-4edc-b0ca-a73c9f0c21d3"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"8dca6d14-2d39-4b0e-b1de-1b4b1371db96"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"4a572b5a-30dc-46c3-bf9e-e61e99514af9"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"8deb7960-b8c6-4d2e-8e0b-7a4d5de6cdf7"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"323983c5-0273-40a9-a087-5f1af847987a"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"8de8924f-ee74-48d4-9f10-6250e8a76ee8"	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	f813b7b4-53e4-455c-bd34-7e32d1583043	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"9713faf5-23ec-4ad9-a800-bc4356f67fc7"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"1f70380c-a109-4dc7-a054-3000f5cc9036"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"879edbce-d95c-4b97-aa07-9c9a59f6d165"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"018e3d9d-e87a-45ab-81a0-8ec2fcbc3e67"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c3016df0-74c3-4f99-bca6-e76510332b88	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"479f7f08-e88b-4d93-918f-eb9fd60998b0"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
b6b34319-3919-4381-8b41-197a82fa5154	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"30803dcf-8ab0-4c5b-81d4-af976222721a"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
a11af3a9-cb91-4ee1-9f1d-1674e47390cf	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"1d520bde-e864-4c59-9203-de6edc41be30"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
dec24e6a-e6dd-48c4-9aba-e56a3ad34ff7	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"1d520bde-e864-4c59-9203-de6edc41be30"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
c34c59a9-38a5-46b2-ad5d-3c9e090b12c2	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"71038eaf-980a-49a1-a9b3-56518452dcda"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"91154ce0-dae3-483b-b121-a8bfd639df57"	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"42a95429-5482-49fa-9897-65a3b7598a03"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
a1f693d6-0204-4e7b-bbaf-ae08d2a3407c	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"548a29b2-9fee-403b-a28f-af7c75d59f3b"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
b73cdd8a-4b39-476e-ab66-eefe5031f7c3	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"3c94ff9a-8b82-49d0-b4cc-bcacada6ef9f"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
abf1e904-20e5-4128-b5ae-666ec6dfd16b	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"50b91918-0b19-4f4a-9c2d-055e141f0cb7"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
